Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Martinus, Kirsten",22,2021,373,17.0,1.97,12.0,36504808800,https://www.scopus.com/authid/detail.url?authorId=36504808800
"Sankaran, Shankar",22,2021,618,28.1,2.57,21.0,36763528100,https://www.scopus.com/authid/detail.url?authorId=36763528100
"Zhang, Lihai",22,2021,312,14.2,1.79,26.0,37039013000,https://www.scopus.com/authid/detail.url?authorId=37039013000
"Parkinson, Sharon",22,2021,235,10.7,1.67,10.0,55636879900,https://www.scopus.com/authid/detail.url?authorId=55636879900
"Munir, Muhammad Junaid",22,2021,646,29.4,3.27,22.0,55991506900,https://www.scopus.com/authid/detail.url?authorId=55991506900
"Sipe, Neil G.",22,2021,241,11.0,0.93,21.0,56300353400,https://www.scopus.com/authid/detail.url?authorId=56300353400
"Turrell, Gavin",22,2021,444,20.2,1.85,51.0,7003493242,https://www.scopus.com/authid/detail.url?authorId=7003493242
"Dollery, Brian Edward",22,2021,205,9.3,1.26,28.0,7004066607,https://www.scopus.com/authid/detail.url?authorId=7004066607
"McGuirk, Pauline M.",22,2021,515,23.4,2.54,28.0,7004200352,https://www.scopus.com/authid/detail.url?authorId=7004200352
"Gad, E. F.",22,2021,205,9.3,1.10,27.0,7004345753,https://www.scopus.com/authid/detail.url?authorId=7004345753
"Duffield, Colin Fraser",22,2021,298,13.5,1.00,18.0,7006447544,https://www.scopus.com/authid/detail.url?authorId=7006447544
"Dowling, Robyn",22,2021,522,23.7,2.55,29.0,7102921193,https://www.scopus.com/authid/detail.url?authorId=7102921193
"Qiu, Xiaojun",22,2020,169,7.7,0.77,24.0,7402545343,https://www.scopus.com/authid/detail.url?authorId=7402545343
"Karrech, Ali",21,2021,296,14.1,1.69,27.0,14054087300,https://www.scopus.com/authid/detail.url?authorId=14054087300
"Howitt, Richard",21,2020,514,24.5,2.01,24.0,16312065600,https://www.scopus.com/authid/detail.url?authorId=16312065600
"Bissell, David",21,2021,462,22.0,4.43,25.0,24490722400,https://www.scopus.com/authid/detail.url?authorId=24490722400
"Nasirzadeh, Farnad",21,2021,217,10.3,1.56,14.0,24537351500,https://www.scopus.com/authid/detail.url?authorId=24537351500
"Senaratne, Sepani",21,2021,162,7.7,0.87,14.0,25926051600,https://www.scopus.com/authid/detail.url?authorId=25926051600
